Company,Film,Release,Adjusted,Worldwide,Domestic,Foreign
Marvel,Avengers,2012," $ 1,575.85 "," $ 1,518.59 ", $ 623.36 , $ 895.24 
Marvel,Iron Man 3,2013," $ 1,243.06 "," $ 1,215.44 ", $ 409.01 , $ 806.43 
DC,The Dark Knight Rises,2012," $ 1,125.32 "," $ 1,084.44 ", $ 448.14 , $ 636.30 
DC,The Dark Knight,2008," $ 1,111.62 "," $ 1,004.56 ", $ 534.86 , $ 469.70 
DC,Superman,1978," $ 1,097.04 ", $ 300.22 , $ 134.22 , $ 166.00 
Marvel,Spider-Man,2002," $ 1,088.23 ", $ 821.71 , $ 403.71 , $ 418.00 
Marvel,Spider-Man 3,2007," $ 1,023.67 ", $ 890.87 , $ 336.53 , $ 554.34 
Marvel,Spider-Man 2,2004, $ 988.52 , $ 783.77 , $ 373.59 , $ 410.18 
DC,Batman,1989, $ 790.35 , $ 411.35 , $ 251.19 , $ 160.16 
Marvel,The Amazing Spider-Man,2012, $ 786.51 , $ 757.93 , $ 262.03 , $ 495.90 
Marvel,X-Men: Days of Future Past,2014, $ 744.05 , $ 744.05 , $ 232.49 , $ 511.56 
Marvel,Captain America: The Winter Soldier,2014, $ 714.03 , $ 714.03 , $ 259.71 , $ 454.32 
Marvel,The Amazing Spider-Man 2,2014, $ 708.22 , $ 708.22 , $ 202.78 , $ 505.44 
DC,Man of Steel,2013, $ 683.22 , $ 668.05 , $ 291.05 , $ 377.00 
Marvel,Iron Man 2,2010, $ 681.72 , $ 623.93 , $ 312.43 , $ 311.50 
Marvel,Thor: The Dark World,2013, $ 659.43 , $ 644.78 , $ 206.36 , $ 438.42 
Marvel,Iron Man,2008, $ 647.54 , $ 585.17 , $ 318.41 , $ 266.76 
Marvel,X-Men: The Last Stand,2006, $ 542.87 , $ 459.36 , $ 234.36 , $ 225.00 
Marvel,X2: X-Men United,2003, $ 527.92 , $ 407.71 , $ 214.95 , $ 192.76 
DC,Batman Forever,1995, $ 526.10 , $ 336.53 , $ 184.03 , $ 152.50 
Marvel,Thor,2011, $ 475.92 , $ 449.33 , $ 181.03 , $ 268.30 
DC,Superman Returns,2006, $ 462.18 , $ 391.08 , $ 200.08 , $ 191.00 
DC,Batman Begins,2005, $ 456.52 , $ 374.22 , $ 206.85 , $ 167.37 
DC,Batman Returns,1992, $ 453.10 , $ 266.82 , $ 162.83 , $ 103.99 
Marvel,Guardians of the Galaxy,2014, $ 418.68 , $ 418.68 , $ 222.28 , $ 196.40 
Marvel,X-Men,2000, $ 410.01 , $ 296.34 , $ 157.30 , $ 139.04 
Marvel,Fantastic Four,2005, $ 403.28 , $ 330.58 , $ 154.70 , $ 175.88 
Marvel,Captain America: The First Avenger,2011, $ 392.50 , $ 370.57 , $ 176.65 , $ 193.92 
Marvel,X-Men: First Class,2011, $ 374.55 , $ 353.62 , $ 146.41 , $ 207.22 
DC,Batman & Robin,1997, $ 353.60 , $ 238.21 , $ 107.33 , $ 130.88 
Marvel,Fantastic Four: Rise of the Silver Surfer,2007, $ 332.14 , $ 289.05 , $ 131.92 , $ 157.13 
Marvel,Hulk,2003, $ 317.70 , $ 245.36 , $ 132.18 , $ 113.18 
DC,Superman II,1980, $ 312.81 , $ 108.19 , $ 108.19 ,
Marvel,The Incredible Hulk,2008, $ 291.50 , $ 263.43 , $ 134.81 , $ 128.62 
DC,Constantine,2005, $ 281.66 , $ 230.88 , $ 75.98 , $ 154.91 
Marvel,Ghost Rider,2007, $ 262.84 , $ 228.74 , $ 115.80 , $ 112.94 
DC,Green Lantern,2011, $ 232.86 , $ 219.85 , $ 116.60 , $ 103.25 
DC,League of Extraordinary Gentlemen,2003, $ 232.12 , $ 179.27 , $ 66.47 , $ 112.80 
